GMRT-TAU_J042943.03+175814.0	04:29:43.026	+17:58:14.00	1.40	0.22	1.80	0.34	48	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042943.93+181118.8	04:29:43.928	+18:11:18.84	2.04	0.25	2.16	0.40	45	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042944.34+180324.0	04:29:44.341	+18:03:23.96	-	-	-	-	-	-	0.70	0.15	1.05	0.23	37	S	-	-	-	-	-	-
GMRT-TAU_J042948.26+180920.7	04:29:48.259	+18:09:20.68	-	-	-	-	-	-	1.25	0.23	1.10	0.42	68	S	-	-	-	-	-	2M
GMRT-TAU_J042950.09+182207.8	04:29:50.085	+18:22:07.76	0.92	0.19	1.36	0.30	25	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042951.22+181559.1	04:29:51.220	+18:15:59.08	-	-	-	-	-	-	0.96	0.18	0.84	0.31	21	S	-	-	-	-	-	-
GMRT-TAU_J042951.38+173738.1	04:29:51.382	+17:37:38.13	1.75	0.45	4.99	0.63	45	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042952.56+173712.6	04:29:52.557	+17:37:12.61	118.36	5.94	154.79	7.85	463	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042952.58+173740.2	04:29:52.582	+17:37:40.17	1.99	0.44	2.29	0.73	45	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042952.70+173002.0	04:29:52.697	+17:30:02.02	4.56	0.41	5.98	0.62	104	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042953.31+180959.8	04:29:53.313	+18:09:59.76	1.30	0.33	2.47	0.47	72	C	-	-	-	-	-	-	-	-	-	-	-	S
GMRT-TAU_J042953.46+180940.2	04:29:53.464	+18:09:40.17	2.18	0.34	4.41	0.50	72	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042953.50+183010.8	04:29:53.503	+18:30:10.80	8.91	0.51	20.36	1.17	123	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042953.77+181653.7	04:29:53.766	+18:16:53.71	3.09	0.29	3.41	0.45	38	S	1.12	0.22	2.39	0.32	103	S	-0.56	0.68	-	-	-	-
GMRT-TAU_J042953.81+180125.3	04:29:53.814	+18:01:25.32	1.69	0.20	1.47	0.34	24	S	0.71	0.12	0.77	0.29	31	M	-	-	-	-	-	-
GMRT-TAU_J042954.33+180915.5	04:29:54.335	+18:09:15.51	90.34	4.53	97.40	4.97	319	M	68.03	3.49	69.81	3.73	808	S	-	-	B	-0.54	0.01	N  2M
GMRT-TAU_J042954.43+184744.6	04:29:54.428	+18:47:44.58	2.10	0.39	2.68	0.61	25	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042954.63+184503.8	04:29:54.625	+18:45:03.85	6.68	0.50	9.48	0.75	204	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042955.16+175232.6	04:29:55.160	+17:52:32.64	-	-	-	-	-	-	0.89	0.17	1.58	0.25	87	S	-	-	-	-	-	-
GMRT-TAU_J042955.72+175312.6	04:29:55.716	+17:53:12.61	17.04	0.88	18.35	1.00	188	S	7.35	0.40	6.95	0.43	306	S	-1.53	0.30	B	-0.62	0.49	N 
GMRT-TAU_J042956.54+175047.2	04:29:56.539	+17:50:47.16	1.18	0.24	1.56	0.38	9	S	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042956.84+175746.6	04:29:56.843	+17:57:46.65	1.12	0.22	1.89	0.34	24	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042958.34+181217.7	04:29:58.344	+18:12:17.65	-	-	-	-	-	-	0.90	0.16	1.08	0.25	36	S	-	-	-	-	-	-
GMRT-TAU_J042958.54+180653.3	04:29:58.535	+18:06:53.32	1.82	0.22	1.66	0.37	20	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042958.59+173437.1	04:29:58.593	+17:34:37.05	2.02	0.34	2.61	0.54	25	S	-	-	-	-	-	-	-	-	-	-	-	2M
GMRT-TAU_J042959.18+182512.0	04:29:59.184	+18:25:12.03	1.18	0.22	1.64	0.35	15	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J042959.52+180421.4	04:29:59.515	+18:04:21.37	-	-	-	-	-	-	0.52	0.12	0.93	0.17	33	S	-	-	-	-	-	-
GMRT-TAU_J043000.86+182832.1	04:30:00.864	+18:28:32.14	1.52	0.21	1.33	0.36	14	S	1.40	0.19	2.18	0.29	108	S	0.78	1.08	-	-	-	-
GMRT-TAU_J043002.24+184224.1	04:30:02.244	+18:42:24.13	96.01	4.84	201.57	10.25	870	M	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J043002.54+171252.1	04:30:02.538	+17:12:52.11	38.09	2.01	58.39	3.07	596	S	-	-	-	-	-	-	-	-	L	-0.99	0.11	N 
GMRT-TAU_J043002.59+181733.9	04:30:02.590	+18:17:33.92	2.08	0.39	2.71	0.61	52	C	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J043003.46+190605.1	04:30:03.459	+19:06:05.14	4.12	0.75	8.57	1.11	117	S	-	-	-	-	-	-	-	-	-	-	-	-
GMRT-TAU_J043003.73+181732.6	04:30:03.734	+18:17:32.59	1.56	0.39	3.09	0.56	52	C	-	-	-	-	-	-	-	-	-	-	-	S
GMRT-TAU_J043004.42+181042.7	04:30:04.420	+18:10:42.72	1.41	0.24	1.80	0.38	18	S	0.80	0.14	1.28	0.22	90	S	-0.53	0.98	-	-	-	S
